Name,ICAO,state,city,2019,2018,2017,runways,length
Hartsfield-Jackson International Airport ,KATL,GA,Atlanta,53505795,51866464,50251964,5,12390
Los Angeles International Airport,KLAX,CA,Los Angeles,42939104,42626783,41232432,4,12923
O'Hare International Airport,KORD,IL,Chicago,40871223,39874879,38593028,8,13000
Dallas/Fort Worth International Airport,KDFW,TX,Dallas,35778573,32800721,31816933,7,13401
Denver International Airport,KDEN,CO,Denver,33592945,31363573,298090974,6,16000
John F.Kennedy International Airport,KJFK,NY,New York City,31036655,30541459,29533154,4,14511
San Francisco International Airport,KSFO,CA,San Francisco,27779230,27794154,26900048,4,11870
Seattle-Tacoma International Airport,KSEA,WA,Seattle,25001762,24894338,23364393,3,11901
McCarran International Airport,KLAS,NV,Las Vegas,24728361,23655285,22639124,4,14515
Orlando International Airport,KMCO,FL,Orlando,24562271,23184634,22011251,4,12005
Charlotte Douglas International Airport,KCLT,NC,Charlotte,24199688,22283574,22156548,4,10000
Newark Liberty International Airport,KEWR,NJ,Newark ,23160763,22798354,21565448,3,11000
Phoenix Sky Harbor International Airport,KPHX,AZ,Phoenix,22433552,21623842,20709225,3,11489
George Bush Intercontinental Airport,KIAH,TX,Houston,21905309,21157948,19603731,5,12001
Miami International Airport,KMIA,FL,Miami,21421031,21025210,18759742,4,13016
Logan International Airport,KBOS,MA,Boston,20699377,20010262,18409704,6,10083
Minneapolis-Saint Paul International Airport,KMSP,MN,Minneapolis,19192917,18363493,17036092,4,11006
Detroit Metropolitan Airport,KDTW,MI,Detroit,18143040,17437716,15817043,6,12003
Fort Lauderdale-Hollywood International Airport,KFLL,FL,Fort Lauderdale,17950989,17613957,14614802,2,9000
Philadephia International Airport,KPHL,PA,Philadelphia,16006389,15285948,14271243,4,12000
