Arrival,Passengers,Distance,Country,TOF,Continent,Latitude,Longitude
London,1626448,4741,England,10.82,Europe,51.47,-0.4543
Mexico City,1205870,1349,Mexico,3.52,North America,19.4361,-99.0719
Seoul,1184160,5209,Korea,11.85,Asia,37.4602,126.4407
Hong Kong,1094555,6309,China,14.23,Asia,22.308,113.9185
Guadalajara,976159,1136,Mexico,2.97,North America,20.526,-103.3076
Vancouver,936745,939,Canada,2.53,North America,49.1967,-123.1815
Sydney,922575,6507,Australia,14.67,Australia,-33.9399,151.1753
Toronto,881952,1890,Canada,4.62,North America,43.6777,-79.6248
Tokyo,868925,4737,Japan,10.82,Asia,35.772,140.3929
Paris,861792,4927,France,11.23,Europe,49.0097,2.548
