Manufacturer,Model,Ordered,Delivered,Price,Range ,Seating,MTOW,Takeoff Distance,Ceiling,Wingspan,Age,Country
Airbus,A220-100,90,49,81,3400,135,139000,4800,41000,115,9,EU
Airbus,A220-300,539,99,91.5,3350,160,154000,6200,41000,115,9,EU
Airbus,A319,1486,1482,92.3,3750,156,166000,6070,41000,117,27,EU
Airbus,A320,4770,4752,101,3300,190,172000,6900,41000,117,35,EU
Airbus,A321,1791,1768,118.3,3200,230,206000,7250,39800,117,28,EU
Airbus,A319neo,78,3,101.5,3750,160,166400,6278,39800,117,9,EU
Airbus,A320neo,3857,1172,110.6,3500,195,174200,6400,39800,117,9,EU
Airbus,A321neo,3437,481,129.5,4000,232,213800,6522,39800,117,9,EU
Boeing,737-800,4991,4989,106.1,2935,180,174200,7598,41000,117,24,US
Boeing,737-900ER,505,505,112.6,2950,210,187700,9700,41000,117,15,US
Boeing,737 MAX 7,52,0,99.7,3850,172,177000,7000,41000,117,7,US
Boeing,737 MAX 8,2135,0,124.6,3550,200,181200,8300,41000,117,7,US
Boeing,737 MAX 9,234,0,128.9,3550,220,194700,8500,41000,117,7,US
Boeing,737 MAX 10,483,0,134.9,3300,230,197900,8700,41000,117,7,US
Embraer,E170,191,191,41,2150,78,85098,5394,41000,85,20,BR
Embraer,E175,639,480,45.7,2200,88,89000,7362,41000,85,20,BR
Embraer,E190,564,560,52,2450,114,114199,6890,41000,94,20,BR
Embraer,E195,172,172,58,2300,124,115280,7149,41000,94,20,BR
Mitsubishi,SpaceJet M90,167,0,47.3,2040,88,94358,5710,39000,95,6,JP
Mitsubishi,SpaceJet M100,50,0,50.2,1910,84,92594,5770,39000,91,6,JP
Sukhoi,Superjet 100,326,153,50.1,2472,108,109020,6732,41000,91,14,RU
United Aircraft Corporation,MC-21,175,0,77,3300,140,174720,0,0,118,4,RU
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MAX -> 435 deliveries ,,,,,,,,,,,,
